Compartment,Age of forest,LoggingRotation,Leaflitter1,Leaflitter2,Leaflitter3,Leaflitter4,Leaflitter5,Leaflitter6,Leaflitter7,Leaflitter8,Leaflitter9,Leaflitter10,Leaflitter11,CanopyClosure1,CanopyClosure2,CanopyClosure3,CanopyClosure4,CanopyClosure5,CanopyClosure6,CanopyClosure7,CanopyClosure8,CanopyClosure9,CanopyClosure10,CanopyClosure11,CanopyClosure12,HerbHeight1,HerbHeight2,HerbHeight3,HerbHeight4,HerbHeight5,HerbHeight6
JI40,33,2,3,2,1,3,3,4,7,NA,NA,NA,NA,96,21,0,96,92,96,100,100,NA,NA,NA,NA,50,110,50,40,NA,NA
JI40,33,2,2,1,2,3,2,3,3,NA,NA,NA,NA,96,87,67,79,100,87,79,100,NA,NA,NA,NA,50,70,60,50,NA,NA
JI40,33,2,3,3,3,3,3,2,3,NA,NA,NA,NA,67,62,71,92,100,75,54,87,NA,NA,NA,NA,30,30,130,110,NA,NA
B10,32,2,5,5,2,3,2,2,2,NA,NA,NA,NA,75,100,92,87,100,100,83,87,NA,NA,NA,NA,70,50,70,90,NA,NA
B10,32,2,4,6,2,4,2,3,3,NA,NA,NA,NA,83,75,96,96,46,87,100,92,NA,NA,NA,NA,40,20,90,50,NA,NA
B10,32,2,2,3,3,2,2,2,3,NA,NA,NA,NA,100,79,96,29,67,8,54,87,NA,NA,NA,NA,10,30,50,60,NA,NA
B10,32,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,46,92,67,75,NA,NA,NA,NA,NA,NA,NA,NA,50,100,NA,NA,NA,NA
B10,32,2,2,2,4,2,5,2,6,5,5,4,3,96,83,58,75,92,92,92,100,100,100,100,100,120,120,70,150,0,90
B10,32,2,3,3,3,1,2,4,4,7,2,4,4,100,100,87,87,79,75,79,75,NA,NA,NA,NA,0,50,50,40,90,150
B10,32,2,5,2,2,4,4,4,5,5,2,2,3,0,0,0,0,67,100,100,100,100,100,100,100,110,100,120,130,70,50
B10,32,2,2,3,3,2,2,2,3,4,3,4,2,100,96,87,100,100,92,100,100,100,100,100,92,30,100,50,30,60,50
B10,32,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B10,32,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B10,32,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JI42,33,2,4,4,2,3,4,1,3,NA,NA,NA,NA,100,87,100,83,100,96,87,79,NA,NA,NA,NA,80,50,50,70,NA,NA
JI42,33,2,3,2,2,1,0,2,2,NA,NA,NA,NA,96,100,96,96,71,83,87,92,NA,NA,NA,NA,40,60,80,120,NA,NA
JI42,33,2,2,2,3,3,3,3,2,NA,NA,NA,NA,92,83,100,92,100,83,100,83,NA,NA,NA,NA,50,60,100,110,NA,NA
JI42,33,2,3,1,2,3,4,4,3,NA,NA,NA,NA,92,100,54,83,100,87,67,58,NA,NA,NA,NA,70,70,140,150,NA,NA
JI42,33,2,1,4,3,5,6,3,4,NA,NA,NA,NA,83,75,100,67,96,87,83,100,NA,NA,NA,NA,80,150,90,150,NA,NA
JI42,33,2,12,2,2,2,2,3,4,NA,NA,NA,NA,83,87,37,96,100,33,8,50,NA,NA,NA,NA,40,40,130,40,NA,NA
JI39,31,2,3,3,5,6,5,6,0,NA,NA,NA,NA,100,100,100,100,67,96,62,54,NA,NA,NA,NA,60,70,150,50,NA,NA
JI39,31,2,3,3,4,3,4,3,3,NA,NA,NA,NA,96,100,100,96,67,100,100,96,NA,NA,NA,NA,110,90,90,60,NA,NA
JI39,31,2,3,4,2,2,2,3,5,NA,NA,NA,NA,58,29,42,92,83,42,92,96,NA,NA,NA,NA,60,30,NA,NA,NA,NA
JI39,31,2,3,3,2,3,2,4,3,NA,NA,NA,NA,96,100,42,83,100,71,17,54,NA,NA,NA,NA,40,40,60,90,NA,NA
